level: 1
6 right
6 middle
11 right
6 middle
1 left
6 middle
2 left
6 middle
3 left
6 middle
4 left
6 middle
5 left
6 middle
6 middle
6 middle
7 right
6 middle
8 right
6 middle
9 right
6 middle
10 right
6 middle
11 right
6 middle
1 left
6 middle
2 left
6 middle
3 left
6 middle
4 left
6 middle

level: 6
rounds: 15
7 middle
7 middle
7 middle
8 right
7 middle
9 right
7 middle
10 right
7 middle
11 right
7 middle
12 right
7 middle
13 right
7 middle
1 left

level: 7
rounds: 29
2 left
8 middle
8 middle
9 right
8 middle
10 right
8 middle
11 right
8 middle
12 right
8 middle
13 right
8 middle
14 right
8 middle
15 right
8 middle
1 left
8 middle
2 left
8 middle
3 left
8 middle
4 left
8 middle
5 left
8 middle
6 left
8 middle
7 left

level: 8
rounds: 19
8 left
9 middle
9 middle
10 right
9 middle
11 right
9 middle
12 right
9 middle
13 right
9 middle
14 right
9 middle
15 right
9 middle
16 right
9 middle
17 right
9 middle
1 left

level: 9
rounds: 21
2 left
10 middle
10 middle
11 right
10 middle
12 right
10 middle
13 right
10 middle
14 right
10 middle
15 right
10 middle
16 right
10 middle
17 right
10 middle
18 right
10 middle
19 right
10 middle
1 left

level: 10
rounds: 41
2 left
11 middle
11 middle
12 right
11 middle
13 right
11 middle
14 right
11 middle
15 right
11 middle
16 right
11 middle
17 right
11 middle
18 right
11 middle
19 right
11 middle
20 right
11 middle
21 right
11 middle
1 left
11 middle
2 left
11 middle
3 left
11 middle
4 left
11 middle
5 left
11 middle
6 left
11 middle
7 left
11 middle
8 left
11 middle
9 left
11 middle
10 left

level: 11
rounds: 25
11 left
12 middle
12 middle
13 right
12 middle
14 right
12 middle
15 right
12 middle
16 right
12 middle
17 right
12 middle
18 right
12 middle
19 right
12 middle
20 right
12 middle
21 right
12 middle
22 right
12 middle
23 right
12 middle
1 left

